"Source:","C:\Users\Greg Izatt\src\fallsdownlots\board_v2\board_v2\board_v2.kicad_sch"
"Date:","6/4/2023 8:46:51 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","A1","Adafruit_Feather_M0_Express","MCU_Module:Adafruit_Feather_Generic","Module:Adafruit_Feather","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-feather.pdf",""
"2","2","C1, C7",".01uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"3","4","C2, C3, C8, C9",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"4","3","C4, C10, C13",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"5","2","C5, C11",".47uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"6","2","C6, C12","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",""
"7","1","D1","DSchottky","Device:D_Schottky","Diode_SMD:D_SOD-128","~",""
"8","1","J1","Battery","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~",""
"9","1","J2","MOTR_SENS","Connector:Conn_01x06_Female","Connector:JST MX x6","~",""
"10","1","J3","MOTL_SENS","Connector:Conn_01x06_Female","Connector:JST MX x6","~",""
"11","1","J4","MOTL","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~",""
"12","1","J6","MOTR","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~",""
"13","2","R1, R2","R1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"14","1","R3","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"15","1","R4","470K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"16","6","R5, R6, R7, R8, R9, R10","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"17","1","SW1","SW_SPDT","Switch:SW_SPDT","downloaded:SW_L102021ML04Q","~",""
"18","1","U1","LD33V","ld33v:LD33V","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","",""
"19","1","U2","MPU-6050-Breakout","Sensor_Motion:MPU-6050-Breakout","Sensor_Motion:MPU6050_Breakout_8pin_2.54mm","",""
"20","2","U3, U5","DRV8313PWP","DRV8313PWP:DRV8313PWP","downloaded:IC_TPS61196PWPRQ1","",""
